2024/03/05 00:26:12 loading corpus...
2024/03/05 00:26:12 successfully loaded corpus with 0 records...
2024/03/05 00:26:12 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_eeb2fb00a8c1bb0e1b00714d50372d7494029392/seeds exists
2024/03/05 00:26:12 Read seed : reproducer_1
2024/03/05 00:26:12 Read seed : reproducer_2
2024/03/05 00:26:12 serving http on http://127.0.0.1:56744
2024/03/05 00:26:12 serving rpc on tcp://[::]:42959
2024/03/05 00:26:12 booting test machines...
2024/03/05 00:26:12 wait for the connection from test machine...
2024/03/05 00:27:09 machine check:
2024/03/05 00:27:09 syscalls                : 3873/4501
2024/03/05 00:27:09 code coverage           : enabled
2024/03/05 00:27:09 comparison tracing      : enabled
2024/03/05 00:27:09 extra coverage          : enabled
2024/03/05 00:27:09 delay kcov mmap         : mmap returned an invalid pointer
2024/03/05 00:27:09 setuid sandbox          : enabled
2024/03/05 00:27:09 namespace sandbox       : enabled
2024/03/05 00:27:09 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 00:27:09 fault injection         : enabled
2024/03/05 00:27:09 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 00:27:09 net packet injection    : enabled
2024/03/05 00:27:09 net device setup        : enabled
2024/03/05 00:27:09 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 00:27:09 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 00:27:09 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 00:27:09 USB emulation           : enabled
2024/03/05 00:27:09 hci packet injection    : enabled
2024/03/05 00:27:09 wifi device emulation   : enabled
2024/03/05 00:27:09 802.15.4 emulation      : enabled
2024/03/05 00:27:09 swap file               : enabled
2024/03/05 00:27:09 corpus                  : 0 (deleted 0 broken)
2024/03/05 00:27:09 seeds                   : 2/2
2024/03/05 00:27:12 VMs 1, executed 0, cover 0, signal 0/0, crashes 0, repro 0, triageQLen 0
2024/03/05 00:27:22 VMs 2, executed 0, cover 1311, signal 1365/0, crashes 0, repro 0, triageQLen 0
2024/03/05 00:27:32 VMs 3, executed 125, cover 5587, signal 6004/9441, crashes 0, repro 0, triageQLen 0
2024/03/05 00:27:42 VMs 4, executed 1165, cover 6664, signal 7363/18947, crashes 0, repro 0, triageQLen 0
2024/03/05 00:27:52 VMs 4, executed 3102, cover 7256, signal 8588/25854, crashes 0, repro 0, triageQLen 0
2024/03/05 00:28:02 VMs 4, executed 5256, cover 8803, signal 10503/27892, crashes 0, repro 0, triageQLen 0
2024/03/05 00:28:12 VMs 4, executed 7528, cover 10402, signal 11959/28645, crashes 0, repro 0, triageQLen 0
2024/03/05 00:28:22 VMs 4, executed 9130, cover 10903, signal 12643/28964, crashes 0, repro 0, triageQLen 0
2024/03/05 00:28:32 VMs 4, executed 11087, cover 11319, signal 13087/29448, crashes 0, repro 0, triageQLen 0
2024/03/05 00:28:42 VMs 4, executed 12630, cover 12603, signal 14851/29746, crashes 0, repro 0, triageQLen 0
2024/03/05 00:28:52 VMs 4, executed 13930, cover 14064, signal 16604/30056, crashes 0, repro 0, triageQLen 0
2024/03/05 00:29:02 VMs 4, executed 15797, cover 14592, signal 17373/30339, crashes 0, repro 0, triageQLen 0
2024/03/05 00:29:12 VMs 4, executed 17431, cover 16523, signal 19982/31041, crashes 0, repro 0, triageQLen 0
2024/03/05 00:29:22 VMs 4, executed 18772, cover 17585, signal 21310/31628, crashes 0, repro 0, triageQLen 0
2024/03/05 00:29:32 VMs 4, executed 20228, cover 18382, signal 22545/35814, crashes 0, repro 0, triageQLen 0
2024/03/05 00:29:42 VMs 4, executed 21512, cover 18583, signal 22942/37567, crashes 0, repro 0, triageQLen 0
2024/03/05 00:29:52 VMs 4, executed 22667, cover 18873, signal 23508/38630, crashes 0, repro 0, triageQLen 0
2024/03/05 00:30:02 VMs 4, executed 24036, cover 18906, signal 23599/39772, crashes 0, repro 0, triageQLen 0
